"Variable","Type","Description","Business_Notes"
"date","Date","Date of observation (time series index)","Primary time series index"
"year","Numeric","Calendar year","Annual trend analysis"
"month","Numeric","Month number (1-12)","Seasonal pattern identification"
"quarter","Numeric","Quarter number (1-4)","Quarterly business cycle analysis"
"day_of_week","Character","Day of week name","Weekly seasonality effects"
"day_of_month","Numeric","Day of month (1-31)","Monthly pattern analysis"
"week_of_year","Numeric","Week number of year","Business calendar effects"
"is_weekend","Binary","Weekend indicator (1=weekend, 0=weekday)","Weekend shopping behavior"
"is_month_end","Binary","Month-end indicator (1=last 3 days)","Month-end spending patterns"
"is_month_start","Binary","Month-start indicator (1=first 3 days)","Month-start paycheck effects"
"gdp_index","Numeric","GDP economic index (base 100)","Economic health indicator"
"unemployment_rate","Numeric","National unemployment rate percentage","Employment impact on spending"
"consumer_confidence","Numeric","Consumer confidence index","Consumer spending sentiment"
"stock_market_index","Numeric","Stock market index value","Market confidence indicator"
"temperature","Numeric","Average daily temperature (Fahrenheit)","Seasonal weather impact"
"precipitation","Numeric","Daily precipitation amount (inches)","Weather disruption effects"
"weather_severity_index","Numeric","Weather severity score (0-10 scale)","Severe weather shopping impact"
"marketing_spend","Numeric","Daily marketing spend in dollars","Marketing investment effectiveness"
"email_campaigns_sent","Numeric","Number of email campaigns sent","Email marketing campaign activity"
"social_media_impressions","Numeric","Social media impressions generated","Social media reach and engagement"
"influencer_collaborations","Numeric","Number of influencer collaborations","Influencer marketing impact"
"tv_ad_spend","Numeric","Television advertising spend in dollars","Traditional advertising investment"
"competitor_price_index","Numeric","Competitor pricing index (base 100)","Competitive pricing pressure"
"shipping_cost_index","Numeric","Shipping cost index (base 100)","Logistics cost impact"
"inventory_availability_rate","Numeric","Inventory availability rate percentage","Stock availability effects"
"website_traffic","Numeric","Website unique daily visitors","Traffic volume correlation"
"page_load_time_ms","Numeric","Average page load time (milliseconds)","Site performance impact"
"mobile_traffic_pct","Numeric","Percentage of traffic from mobile devices","Mobile commerce trends"
"site_downtime_minutes","Numeric","Website downtime in minutes","Technical issue impact"
"new_product_launches","Numeric","Number of new product launches","Product catalog expansion"
"daily_sales","Numeric","Daily sales revenue in dollars (TARGET)","Primary revenue metric"
"order_count","Numeric","Total number of orders placed","Order volume indicator"
"avg_order_value","Numeric","Average order value in dollars","Customer spending behavior"
"unique_customers","Numeric","Number of unique customers served","Customer reach metric"
"return_rate_pct","Numeric","Product return rate percentage","Product satisfaction indicator"
"customer_acquisition_cost","Numeric","Customer acquisition cost in dollars","Marketing efficiency metric"
