"date","year","month","quarter","day_of_week","day_of_month","week_of_year","is_weekend","is_month_end","is_month_start","gdp_index","unemployment_rate","consumer_confidence","stock_market_index","temperature","precipitation","weather_severity_index","marketing_spend","email_campaigns_sent","social_media_impressions","influencer_collaborations","tv_ad_spend","competitor_price_index","shipping_cost_index","inventory_availability_rate","website_traffic","page_load_time_ms","mobile_traffic_pct","site_downtime_minutes","new_product_launches","daily_sales","order_count","avg_order_value","unique_customers","return_rate_pct","customer_acquisition_cost"
2019-01-01,2019,1,1,"Tuesday",1,1,0,0,1,99.6392024218276,12.0039803306829,86.8975411618519,2860.65460758643,74.8861881345537,0,3,14955,2,1841680,0,12778,99.0357890069191,100.205978852291,88.5,56384,2020,60,5,0,23411,331,70.73,224,7.7,222.54
2019-01-02,2019,1,1,"Wednesday",2,1,0,0,1,99.8557006555839,12.0683502556781,87.1793343297227,2865.11698040938,81.0084090313181,0.266691434389261,8,10069,1,802304,0,6918,99.6097084973799,98.2983225720158,89.5,475228,2173,54,2,0,18333,248,73.92,192,4,174.81
2019-01-03,2019,1,1,"Thursday",3,1,0,0,1,99.1555904676611,11.9016635515593,90.4196439818356,2877.05730908627,74.1325483327682,0.531694100443192,0,7425,3,1883780,0,1857,101.464492852978,98.6580141825911,94.1,366763,1431,70,3,0,22900,250,91.6,164,8,150.91
2019-01-04,2019,1,1,"Friday",4,1,0,0,0,99.3111058082725,11.7801981893954,89.4721754804577,2912.5380704089,78.107925472745,0.221309613063358,6,15316,1,1089051,0,14202,100.602009352827,98.7208286224436,98.2,419993,1755,60,7,0,24132,279,86.49,202,9.8,252.74
2019-01-05,2019,1,1,"Saturday",5,1,1,0,0,98.5533336223328,11.8390909427699,91.8561559761804,2930.86586907308,76.2425915049913,0.377338628001247,10,17209,1,1642792,0,4201,100.841331594769,100.049393355317,91,477379,3453,68,4,0,25245,278,90.81,207,15,277.12
2019-01-06,2019,1,1,"Sunday",6,1,1,0,0,97.5624863383565,11.8588539007149,89.8123968776481,2920.10993056445,67.3152437149852,0.382705168401189,1,8504,0,747822,0,11097,98.9236519447693,102.991681899574,96.2,478011,1870,61,4,0,24060,270,89.11,202,2.8,140.33
2019-01-07,2019,1,1,"Monday",7,1,0,0,0,98.1071404583759,11.7682336611818,89.7589488827741,2902.39334225647,75.9117663553094,0,0,7175,2,1016916,0,3052,99.0790694185253,100.042052321189,88.2,301575,938,60,8,0,22021,276,79.79,228,11.8,104.9
2019-01-08,2019,1,1,"Tuesday",8,2,0,0,0,98.5395766782264,11.9297049758428,89.9164577292752,2904.70026100341,73.3347800850395,0.269358779753557,0,17673,1,1942245,0,6050,99.1366772332997,99.203031731999,90.2,337533,1220,65,6,1,24167,345,70.05,225,14.7,261.82
2019-01-09,2019,1,1,"Wednesday",9,2,0,0,0,98.2367502058056,11.8326383864543,89.9968218830009,2933.79958741526,67.0404837100147,0,5,14330,5,678245,0,3325,98.6498541273358,99.2355815538698,92.3,472118,2310,51,4,0,22086,247,89.42,165,3.1,289.49
2019-01-10,2019,1,1,"Thursday",10,2,0,0,0,98.5438543738804,11.7778514732265,90.9995443715412,2899.01653971264,74.9956439591358,0.119944429818043,10,18662,3,1645065,1,10086,98.5242713797036,97.3043831177827,98.1,265875,1986,62,4,0,24362,314,77.59,241,15,258.12
2019-01-11,2019,1,1,"Friday",11,2,0,0,0,98.2598114490419,11.5806242371585,87.4080030138227,2906.73814327396,68.5835190011858,0,9,11281,3,324516,0,4869,99.1297833541924,97.5756617993366,92.7,341308,1882,69,4,0,24230,262,92.48,177,2.3,212.45
2019-01-12,2019,1,1,"Saturday",12,2,1,0,0,99.1701029753697,11.5325474284056,88.3942070951578,2929.21065442833,79.0195237105258,0.31017382260965,3,17512,2,203377,0,7932,99.4314577975304,97.0695949921008,97.4,257067,2288,52,7,0,25397,355,71.54,198,14.6,294.81
2019-01-13,2019,1,1,"Sunday",13,2,1,0,0,99.0018824222725,11.5915284386301,87.114605509027,2935.57359788216,66.6437858595952,0.361602037634603,6,19148,2,1849608,0,5695,98.3145103934942,98.2040985714787,95,140110,2050,72,5,0,26638,284,93.8,167,4.9,382.2
2019-01-14,2019,1,1,"Monday",14,2,0,0,0,98.4766835786644,11.4250893717483,83.6378890653798,2935.58472324292,71.0876450318229,0,5,17306,1,1430888,1,9384,98.9910796001906,97.578480905161,94.5,278402,962,46,3,0,22159,250,88.64,203,6.9,284.17
2019-01-15,2019,1,1,"Tuesday",15,3,0,0,0,99.1724141550624,11.4715476105219,83.8132004500058,2972.16283400228,67.9692684552957,0,7,5210,2,585980,1,5587,98.6732937976386,97.1065922127833,87.8,332053,1168,50,3,0,19650,276,71.2,196,4.8,88.61
2019-01-16,2019,1,1,"Wednesday",16,3,0,0,0,99.2497098381234,11.4567956404371,84.947873024756,2993.58196158146,75.9676080223425,0.401073312123975,7,24230,4,1166046,0,13048,99.262938401763,95.78420977963,88.2,129616,2557,56,8,0,25871,298,86.82,189,3.9,427.34
2019-01-17,2019,1,1,"Thursday",17,3,0,0,0,99.6205513782771,11.4796014187724,85.5776021588522,2961.21652636873,71.1649137655105,0.130690357285324,1,15152,5,445976,0,5302,98.6763004087953,94.8530089278294,97.9,300323,821,70,6,1,24125,272,88.69,172,4.2,293.64
2019-01-18,2019,1,1,"Friday",18,3,0,0,0,98.7989854564478,11.4854733666856,82.9379167615285,2911.69096660747,72.5554857342493,0,0,13322,1,1572992,0,7521,98.9879750390743,95.389478058582,85.6,237240,2837,59,4,0,23114,308,75.05,229,4.6,193.92
2019-01-19,2019,1,1,"Saturday",19,3,1,0,0,98.2432399774325,11.4821287034898,85.0494796288315,2941.14122411447,71.4971208245126,0.142035843684357,7,7551,2,776985,0,11544,99.2205113727925,97.6667558579157,92.5,371576,2597,74,6,0,21760,253,86.01,221,9.5,113.89
2019-01-20,2019,1,1,"Sunday",20,3,1,0,0,98.6021627346218,11.4396392805803,84.9721773439096,2928.67804616011,66.5572293251958,0.110053408413586,9,16170,2,626571,0,6581,99.3847205010144,98.5760825760071,87.5,141891,1862,60,1,0,24919,357,69.8,213,4.7,253.05
2019-01-21,2019,1,1,"Monday",21,3,0,0,0,98.711866241363,11.5832418364897,88.9236808782885,2981.77103681701,75.5612293182527,0,9,19491,1,765121,0,8820,100.141178665177,96.2834424148186,91.2,102909,2726,58,4,0,19374,205,94.51,152,12.9,427.43
2019-01-22,2019,1,1,"Tuesday",22,4,0,0,0,98.5528979689308,11.5508722776949,91.8584605232914,3031.33313732741,78.4339684146224,0.110052370115076,6,21629,2,1578321,1,9830,99.3031602781349,95.9995449855006,85.5,192697,2186,49,8,0,22626,329,68.77,240,4.7,300.4
2019-01-23,2019,1,1,"Wednesday",23,4,0,0,0,98.8013724993264,11.6975725799358,94.9572693578422,3056.89516276967,79.958697247054,0.541665777852356,2,9816,1,1906012,0,2404,100.22290844376,95.9885775114045,94.6,170029,3379,62,7,0,19500,210,92.86,147,4.7,222.59
2019-01-24,2019,1,1,"Thursday",24,4,0,0,0,98.0219204501486,11.7165055960039,91.5005112933686,3046.01535801018,88.5472231555572,0,4,12078,2,1059048,0,8213,101.263776001127,93.2021247535583,92.5,115950,2945,72,3,0,20214,228,88.66,139,12.2,289.64
2019-01-25,2019,1,1,"Friday",25,4,0,0,0,97.7442101750423,11.5345151822036,92.0366041875394,3059.37679347296,69.5548586691201,0,1,20674,0,411025,0,7947,102.00789900593,90.5509402895246,98,58136,2890,68,2,0,23182,304,76.26,204,2.9,337.81
2019-01-26,2019,1,1,"Saturday",26,4,1,0,0,97.5625283049506,11.5740489091492,93.019372052878,3077.74850860906,76.5865777078538,0.181043832399777,6,15506,0,322772,1,4022,102.433345992635,90.6953541501147,85.1,392822,2009,68,5,1,23148,311,74.43,226,14.4,228.7
2019-01-27,2019,1,1,"Sunday",27,4,1,0,0,97.224187548937,11.4124312861036,92.7722954475213,3079.53191692605,60.2465675947142,0.522680851787853,4,7236,2,404422,0,7996,101.925074905361,90.4893406524655,87.5,391234,1907,64,4,0,21271,269,79.07,206,5.4,117.09
2019-01-28,2019,1,1,"Monday",28,4,0,1,0,97.8428927541094,11.4416834391855,92.5632000061965,3075.22697567459,74.952260753608,0.338068426256809,0,24156,3,923241,0,11402,102.421280544413,90.2608571231698,97.9,183910,1524,61,6,0,24906,370,67.31,238,3.3,338.32
2019-01-29,2019,1,1,"Tuesday",29,5,0,1,0,98.4330485817898,11.5861532804557,92.0709524094396,3071.76973025192,74.4986132793454,0.507756125084354,7,10990,2,1629384,0,3586,102.802408733916,90.1601246213073,98.1,386002,2086,51,2,0,22131,234,94.58,146,14.1,250.91
2019-01-30,2019,1,1,"Wednesday",30,5,0,1,0,98.3496786269708,11.5432072159203,91.5440881444781,3043.10459229318,57.4314959027127,0,4,17016,2,1548641,0,13804,103.339911480265,90.1164357526795,93.7,430669,2878,50,7,0,21987,273,80.54,174,3.5,325.98
2019-01-31,2019,1,1,"Thursday",31,5,0,1,0,97.8127855361689,11.5367730298864,91.2779530753697,3025.73519520157,64.1885162893987,0,3,12708,2,1018348,0,3470,103.951571067825,90.2832260150926,96.3,387246,943,73,5,0,20358,258,78.91,184,12.4,230.22
2019-02-01,2019,2,1,"Friday",1,5,0,0,1,99.060387215612,11.5185015817007,90.7030765898616,3026.2583691927,75.0904518489859,0.128670928155635,9,18570,1,1806989,0,9368,105.479776081404,89.3486458969124,93.2,388184,1326,72,5,0,25548,339,75.36,216,5.8,286.57
2019-02-02,2019,2,1,"Saturday",2,5,1,0,1,98.4936416413859,11.5068061744868,87.4340465707065,3037.43771818353,71.6583497465865,0.131674377774593,4,13886,0,1877635,0,5905,106.08201820318,87.7125139814772,91.6,276100,1399,64,3,0,26249,326,80.52,196,9.2,236.16
2019-02-03,2019,2,1,"Sunday",3,5,1,0,1,98.6205896003538,11.645443168977,86.6928355860903,3032.12343799383,83.3206314725517,0.248983640789808,9,10397,0,526429,0,14898,106.540653500244,86.1591772771082,92.2,128568,2717,68,2,0,23820,274,86.93,153,2.3,226.51
2019-02-04,2019,2,1,"Monday",4,5,0,0,0,98.2255722229273,11.6951510546701,87.8651919160957,3015.81184431119,70.578564229274,0.191766298179969,8,11990,4,121126,0,14226,105.098023766957,85.4255696137522,86,429986,2231,65,5,0,21793,278,78.39,253,14.7,157.97
2019-02-05,2019,2,1,"Tuesday",5,6,0,0,0,98.5908852528991,11.86950204863,87.1429238526909,3022.30240477956,86.7249932749496,0.556557774671585,7,12776,1,791106,0,12363,105.32188989272,86.8851222064323,88,120352,1318,68,7,0,21669,264,82.08,189,12.5,225.33
2019-02-06,2019,2,1,"Wednesday",6,6,0,0,0,98.3148718229361,11.9855604073254,83.1813686827192,3019.98909187883,86.7701694887038,0,1,7889,4,791939,1,8421,105.826409890206,85.7301935245508,93.6,129464,1131,49,5,0,22683,255,88.95,182,4.6,144.49
2019-02-07,2019,2,1,"Thursday",7,6,0,0,0,99.0052966661453,12.0798560075945,82.3289843762049,3022.70354279222,84.2470192632113,0.603600633876067,6,10274,2,1088158,0,13599,106.205458479633,89.2153882057746,90.5,126144,3496,51,3,0,20767,280,74.17,179,11.6,191.32
2019-02-08,2019,2,1,"Friday",8,6,0,0,0,98.3571397911678,12.0553690143856,84.6324446660761,2991.33647960263,84.2961337978146,0.170100513876973,4,16002,4,1062909,0,4795,106.536941986223,87.8733826826012,85.9,222749,1360,63,1,0,27532,321,85.77,196,14.7,272.14
